iter	RMSE
0	14.16216563
1	13.24933623
2	12.40215158
3	11.62757391
4	10.90903512
5	10.34000069
6	9.843746289
7	9.407077749
8	8.963581531
9	8.558242872
10	8.193921644
11	7.871720753
12	7.613301473
13	7.392069616
14	7.155206952
15	6.96925017
16	6.789597941
17	6.630941653
18	6.480844266
19	6.36656824
20	6.260651782
21	6.171329824
22	6.067938155
23	5.979789284
24	5.898575991
25	5.838312877
26	5.770390016
27	5.714578323
28	5.656592429
29	5.610726324
30	5.568984993
31	5.533373808
32	5.501236308
33	5.469999955
34	5.437508294
35	5.418197235
36	5.392070222
37	5.362356373
38	5.341023128
39	5.317980088
40	5.304299664
41	5.285888044
42	5.268247201
43	5.25600667
44	5.243608789
45	5.223385114
46	5.203733684
47	5.185746471
48	5.169388835
49	5.151142288
50	5.144737078
51	5.132753616
52	5.11241361
53	5.10158613
54	5.089930735
55	5.070457305
56	5.060536645
57	5.046217278
58	5.033735488
59	5.019920172
60	5.009005969
61	4.995027215
62	4.985132343
63	4.96954593
64	4.958755833
65	4.950387295
66	4.940014512
67	4.925519166
68	4.917432182
69	4.90178306
70	4.892318407
71	4.881602668
72	4.875753266
73	4.860341587
74	4.845606021
75	4.835002837
76	4.824776458
77	4.811318532
78	4.804372953
79	4.797160381
80	4.79282302
81	4.787178487
82	4.780910228
83	4.776154586
84	4.771968655
85	4.762657842
86	4.758131966
87	4.744036208
88	4.734203662
89	4.728478868
90	4.7123344
91	4.70578008
92	4.699608945
93	4.69634971
94	4.68880772
95	4.670724976
96	4.669633943
97	4.661382622
98	4.660352512
99	4.650064595
